# a day with LA Photographer Daniel Gutierrez -- (Walkie Talkie around the U.S. ep. 8)
# https://www.youtube.com/watch?v=7dgmZX3QPQI
# length 34 min

## DESCRIPTION
The first 500 people to use my link: https://skl.sh/paulieb08241, will get a 1-month free trial of Skillshare premium!

Follow Daniel here: https://www.instagram.com/pleasedontgotohell/

Watch the 1 hour+ extended cut of this video by joining my Patreon community (along with 25+ other extended cuts): https://bit.ly/PaulieBPatreon

Daniel's Gear: 
Fuji XPro 3 (https://amzn.to/3YD9wOp)
Fujifilm XF 18mm f/2 (https://shrsl.com/4mwr5)


--
Do you have film to process? You should send it to the best lab around, Nice Film Club. 
Get 10% off memberships, processing, scanning, film by using code: "NFCPAULIE" 
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub 

--
Buy your next camera at KEH using the link below + get an additional 5% off using code 'PAULIEB24'
https://bit.ly/KEHxPaulieB

You can also sell your gear to KEH and get a bonus 5% back by using code: 'PAULIEB24-SELL'

--
email me here: contact@paulbaldonado.com

mail me stuff here: 
PO BOX 422 
Jersey City NJ 07303

my IG: https://www.instagram.com/paulie.b/

--
Gear used to create this video: 
Video: 
DJI Osmo Pocket 3 (https://amzn.to/3R6Vr7t)
iPhone 15 Pro Max
Mics: 
Rode Wireless Go II (https://amzn.to/3V0QBtt)

--
#streetphotography #fuji #photography

## TRANSCRIPT (seconds  text)
    0  [Music]
    8  yo we're back with another episode of
   10  walkie-talkie in Los Angeles we got the
   12  homie Daniel with us today Daniel say
   13  what's up what up man Daniel Daniel mat
   16  Gutierrez I'm out here from Los
   18  Angeles uh I do landscape photography
   20  street photography just Photography in
   23  general and that's it you born and
   24  raised Los Angeles born and raised in
   26  Los Angeles grew up in Mid City to be
   27  more specifically and um I've been
   30  photographing for the past 7 years all
   32  over pretty much three first 3 years
   34  stre photography then the LA the next
   37  four years after that maybe counting
   39  this year the landscape in the mix of
   41  everything else let's get walking's get
   48  walking so when you walk around like
   50  this what's what makes you want to take
   52  a photo I think it's mainly as long as
   55  I'm in front of it cuz what this thing
   58  what I do where um or if I kind of just
   60  look at whatever my subject is in my
   63  viewfinder for too long kind of start to
   65  hate it or I start to think about it too
   67  much I do like to take the photos as
   70  soon as I see it just like street
   71  photography but when I see these
   72  Landscapes um I kind of wait
   76  for I guess the sun and the light and
   79  just whatever texture comes up in front
   81  of me just like in street photography
   82  which just how a person would kind of
   84  layer around how the background will
   85  layer around everything same thing I do
   87  with the
   88  Landscapes so I guess it's still in the
   90  essence of street photography for me
   92  especially since I did start with street
   93  photography but now we're doing all
   95  these Landscapes now a lot of the [ __ ] I
   97  do is just just probably was just
   98  laziness too like it'll be days where I
  101  just walk out with just the
  102  Fuji and that's it maybe the camera
  106  maybe the Flash in my back pocket or
  107  when I had like the small like compact
  110  contact looking flash I would I would
  112  just walk out my camera grab my wallet
  114  go home go out somewhere and just walk
  116  batteries in my back pocket and that's
  118  it but now I mean the a lot more just
  120  cuz I'm interested in a lot
  127  more God
  131  damn this shit's been here since I was a
  134  kid since every time I would walk my mom
  136  to catch a bus something around here
  138  this thing's always been here I don't
  139  know how I don't know how long is it's
  142  it's been here in total but it's always
  143  been here here's the [ __ ] I love about
  145  the city we got [ __ ] we got a
  146  homeless tent and we got a big ass house
  148  in the back so now we're going down
  150  Wilton um and B this is basically us
  152  walking into Korea Town basically what's
  154  your typical day look like if you have a
  157  full day to yourself to photograph
  159  what's what what you usually do so full
  161  day to photograph I kind of tolded deci
  164  side of how many cameras I want to bring
  165  along like today I did bring my main one
  167  the Fuji with the with the 18 and then I
  170  brought I brought along with me a
  172  Polaroid
  173  insta so today would be mainly landscape
  177  work and then like little color polar
  179  rates here and there of whatever I find
  182  um but after I decide what to do on in
  183  the morning and I just kind of just pick
  185  a direction walk that way or if this is
  187  an event then I kind of like make make
  189  my day surrounded around that event so
  191  there's a protest I say protest at 12:00
  193  I start my shooting days around like
  194  8:00 a.m. 9:00 a.m. sometimes you know
  196  I'll walk a certain direction maybe
  199  headed headed towards a protest say at
  201  City Hall I I'll make my way towards
  203  downtown but I'll make my way towards
  204  downtown just three times longer just so
  206  I could shoot along the way and then by
  208  the time I get to the protest I'm
  209  shooting whatever's you know there and
  211  then after that's done go home or shoot
  215  again depending what the day like yeah
  217  that's pretty much what I do in the day
  220  just literally just photography dude
