# L.A.'s most popular street photographer? -- Walkie Talkie w/ Jeremy Paige (around the U.S. ep 7)
# https://www.youtube.com/watch?v=E97-PxWYPAI
# length 39 min

## DESCRIPTION
Support Walkie Talkie by signing up for squarespace here: https://www.squarespace.com/paulieb. 
Use code "paulieb" & get a 14 day free trial and save 10% oﬀ your first purchase.

Follow Jeremy: https://www.instagram.com/eatenbyflowers
Jeremy's Gear: 
Nikon F4 (https://shrsl.com/4lyc5)
Nikon AF-S NIKKOR 20mm (https://shrsl.com/4lyc6)
Nikon AF-S NIKKOR 24mm (https://shrsl.com/4lyc7)

--
Watch the 1 hour extended cut of this video by joining my Patreon community (along with 25+ other extended cuts): https://bit.ly/PaulieBPatreon

--
Have film to process? You should send it to the amazing team at Nice Film Club. Get 10% off your first order (including memberships!) with code "NFCPAULIE". See Why they're the best in the game
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub


--
Buy your next camera at KEH using the link below + get an additional 5% off using code 'PAULIEB24'
https://bit.ly/KEHxPaulieB

You can also sell your gear to KEH and get a bonus 5% back by using code: 'PAULIEB24-SELL'
--
Support the channel by buying my latest zine: 
https://bit.ly/NOTASWEKNOWIT_ORDER

--
email me here: contact@paulbaldonado.com

mail me stuff here: 
PO BOX 422 
Jersey City NJ 07303

my IG: https://www.instagram.com/paulie.b/

--


Gear used to create this video: 
Video: 
DJI Osmo Pocket 3 (https://amzn.to/3R6Vr7t)
iPhone 15 Pro Max
Mics: 
Rode Wireless Go II (https://amzn.to/3V0QBtt)

--
#photography #streetphotography #filmphotography

## TRANSCRIPT (seconds  text)
    0  every time I'm in the street I hear y y
    3  y
    3  [Music]
    6  y yo we got another episode of
    8  walkie-talkie today with the homie
   10  Jeremy Paige Jeremy say what's up hey
   12  what's going on everybody can you let
   13  the people know who you are and what you
   14  do I what I do oh man
   19  uh I take photos on Hollywood Boulevard
   24  basically that's about it how long I've
   25  been shooting street photography uh
   27  maybe about 8 to 10 years um lot of
   30  Trials and error so I mean it kind of
   32  merges if that makes sense like I've
   35  really only started shooting a lot of
   37  Street when I moved to Hollywood when
   39  was that
   41  in 15 I ended up moving from one
   45  neighborhood to this
   46  neighborhood and out of pure laziness
   49  really I was like well I don't want to
   50  drive cuz traffic sucks so I'll just
   52  walk around the neighborhood and the
   54  neighborhood is basically Hollywood
   55  Boulevard so this is kind of how it
   57  started and I just
   60  it just worked I just loved it I
   62  immediately loved it because I'm from
   64  New Orleans originally so this feels
   66  like Bourbon Street which feels like
   68  home so it felt like a home away from
   70  home it's just a bunch of outcasts
   73  tourists drunk people people having fun
   76  everyone just focused on themselves and
   80  just buying souvenirs and running around
   82  and Hauling kids and it was just great I
   85  just felt right at home I thought oh
   87  this is great it's like marra year round
   89  this is perfect I just kind of went from
   90  there and that was it and then I was
   93  kind of Off to the Races and I I this is
   96  basically the only place I shoot I mean
   98  in a in a lot of ways it's kind of a
  100  crutch like I use it as a crutch cuz I
  103  go other places and it's very tough so I
  105  mean I'm not too proud to like I if I go
  108  downtown I'm just completely flabbergast
  111  I'm just lost like wow everything's so
  112  [ __ ] tall there people everywhere I
  114  don't know who's tourist who's working I
  117  don't this is I'm just out of my element
  120  you know so I think in order for me to
  122  feel like I'm getting cool pictures I
  125  need to feel comfortable you know if
  129  that makes sense I'm not one of those
  130  people where I want to get out of my
  131  comfort zone how often do you go to
  133  other places to try to shoot stuff like
  135  that or has that been out of your system
  137  for a while often often I try and it's
  142  tough because here I feel connected to
  145  everybody here I feel it sounds so
  148  ridiculous like metaphysical [ __ ]
  150  but when I'm walking around here I feel
  152  like I'm one of them you know and I'm
  156  just walking around you know I'm walking
  158  around like I'm a tourist as well I'm
  159  not from here you know every day I see
  161  something new I think oh [ __ ] I didn't
  163  know this person had a star wellow this
  164  business is opening up I want to try out
  165  this bar you know I'm not jaded or
  169  calloused by Hollywood I'm still
  171  enamored by it you know every day I see
  174  something new and cool and I and I
  175  really like that so it
  177  feels like I'm just walking around the
  179  neighborhood just kind of exploring you
  181  know and I like it let's go do some of
  183  that walking all right cool man let go
  185  yeah it's amazing dude I I love being
  187  right here on this corner cuz just right
  189  here at all times you know the there's a
  191  gentleman I shot dunking a basketball in
  194  a garbage can and it was that garbage
  196  can and I heard him like and then I'd
  199  hear the ball bounce out and I looked
  202  out and I thought oh my God that is he
  204  seriously doing that so I just came
  206  downstairs walked to the corner and
  208  snapped off photo it's always the people
  211  that I get a cool photo of I always
  214  offer it to them I'll always say dude I
  215  think that's going to be really cool man
  216  like I can send it to you if you want it
  218  they're like no no no I don't care and
  219  then it's the photos I take of people
  221  that I know are going to be sucky
  223  photos they always go well where can I
