# A Day with Stephen Vanasco in Los Angeles (Walkie Talkie episode 88)
# https://www.youtube.com/watch?v=cpdytzJ24xo
# length 39 min

## DESCRIPTION
*This episode is made possible with support from Squarespace.*
Support Walkie Talkie by going to https://www.squarespace.com/paulieb. 
Use code "PAULIEB" & get a 14 day free trial and save 10% oﬀ your first purchase.

Follow Stephen: https://www.instagram.com/stephenvanasco/
Stephen's Gear: Leica MP w/ 35mm Summicron 

__________________
Shoot film? Get your film developed and scanned at Nice Film Club!
Join the club today using this link: 
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub


__________________
Interested in working together? Sponsorships, Brands, Collaborations: 
Email me: contact@paulbaldonado.com

Want to send me something? 
mail me here: 
PO BOX 422 
Jersey City NJ 07303
(but also send me an email or DM notifying me) 

follow me on IG: https://www.instagram.com/paulie.b/


__________________
Gear used to create this video: 
Video: 
DJI Osmo Pocket 3 (https://amzn.to/3R6Vr7t)
Mics: 
Rode Wireless Go II (https://amzn.to/3V0QBtt)

this video was edited by Javier “Xavi” Rodriguez (https://www.instagram.com/_xavi_javier/)

__
Chapters 
00:00 Intro
01:11 Gear Talk
02:45 Anti-Genre Photography
05:55 How Photography Started in Adult Film
08:56 Van Styles; Where the Name Came From
09:55 Dropping the Name, Losing 800,000 Followers
12:36 Hollywood & Vine; Winogrand's Corner
15:44 Point of Departure; The Dorothea Lange Story
17:14 The Daughter Project
20:56 Artists Are Selfish; The Dan Winters Story
21:57 Making a Living Without Ad Campaigns
25:24 The Stolen Leica
26:58 Squarespace
28:13 Shooting LA After COVID
36:29 How to Define Success
39:07 Outro
--
#streetphotography

## TRANSCRIPT (seconds  text)
    0  This episode of Walkie Talkie is brought
    1  to you by Squarespace. You can support
    3  the series by using the link in the
    5  video description. The same feeling I
    6  got from skateboarding at 12 years old,
    8  13, was there again in photography. You
   11  don't get what you deserve, you get what
   13  you negotiate. If what you're doing has
   15  some substance then they may not like
   17  you but they'll respect you.
   19  >> Yo, we're back with another episode of
   21  Walkie Talkie. Today we got Stefan.
   22  Stefan, what's up?
   23  >> Not much, man. How you doing?
   25  >> Good, man. Can you introduce yourself to
   26  the people out there?
   27  >> All right, Stefan Vanasco, uh
   29  photographer. I've been doing this for
   31  over 20 years.
   33  Uh LA-based and going to take Paulie
   35  around today, show him how I see the
   36  city.
   37  Going to hop on the train though, no
   39  cars today.
   40  >> Dang. Let's go.
   41  >> All right, let's go. Come on.
   49  There.
   51  Here's your TAP card.
   52  So, we're just going to start off here
   54  in North Hollywood in the San Fernando
   56  Valley
   57  and we're going to hop the train to a
   59  few different neighborhoods, uh namely
   60  Hollywood, K-Town, and Downtown, which
   63  for street photography or you're just
   64  trying to see the city are pretty good
   65  neighborhoods to check out.
   67  And you know, we're going to run this
   68  like all the way through down to
   70  Downtown.
   71  >> What's the gear that we're using today?
   72  >> Uh gear is uh tried and true, Leica MP.
   77  Had this camera for over 10 years.
   80  Got a 35 uh Summicron on.
   83  And then in the bag I got a 50, which is
   86  an alternate lens that I'll use, Minolta
   87  TC-1 for the wider 28.
   91  Contax.
   94  >> What is this like a auto Oh, this is the
   95  Leica of it?
   96  >> Yeah, the Leica of it. I got this uh
   98  last year, so it's still got to wear in,
  100  but
  101  yeah, everything else been running with
  103  this, so
  104  >> 10 years of wear.
  105  >> Yeah. Kind of cool, you know, that's the
  107  whole point of these cameras, right?
  108  They age with you and
  110  >> What What film do you shoot in that
  111  thing?
  111  >> Tri-X.
  112  >> So, you always Tri-X?
  114  >> In this one, yeah. For this one, I have
  116  a silver body, too. That's usually
  118  color.
  119  This one's always Tri-X or if it's like
  121  late I got to push
  123  HP5 or T-Max 3200.
  127  And then the color stuff if I do shoot
  129  is usually Ektachrome or some kind of
  131  E-6 slide film and then maybe like some
  134  CineStill 800T for like again low-light
  137  stuff.
  137  >> So, kind of everything.
  139  >> Yeah, a little bit of [snorts]
  139  everything, but I think like black and
  141  white Tri-X is like
  143  I try to make most of my photos if not
  145  all of them on that.
  146  So, they kind of have a universal feel.
  149  A little bit of overcast, so it's kind
  151  of like a softbox.
  163  All right, so we're going to walk down
  164  this way towards Vine.
  165  >> You kind of describe yourself as being
  167  anti-genre.
  169  >> Um I guess so. I just don't
  172  I prefer not to be put into a box of
  174  like one type of subject matter and
  176  that's the fun part of photography to me
  177  that it's kind of open-ended.
  179  If you get bored or need to get excited,
  182  you know, shooting one subject matter
  183  too long like why not switch it up and
  185  try
  186  to learn other stuff or make bodies of
  188  work or surrounding other stuff.
  191  It's a good change of pace and then
  194  that's kind of been my rhythm
  196  where I'll work on a body of work or
  197  subject matter for a while. If it starts
  199  to feel stale, well, let me go check out
  201  this. This is kind of inspiring me now.
  204  And then it's also I think you can kind
  205  of take
  207  approaches and techniques that you do
  209  for one form or subject matter and bring
  211  it to this one and maybe make something
  213  a little bit different.
  215  You know, today we're going to do some
  216  street.
  221  >> When you talk about taking things from
  223  one genre and applying it to another,
  225  what's like a concrete example of
  227  something you could take from another
  228  genre and apply it to street
  229  photography?
  230  >> Uh
  231  >> well, I think one is like so for
  232  example, if I do like what I found
  234  myself after doing like a lot of aerial
  236  photography work from helicopters,
  238  you kind of get this downward
  239  perspective and you're looking below.
  241  So, obviously, if you're doing street
  243  stuff and there's like
  245  you don't have to stay ground level. If
  246  there's an elevated platform or point
  248  that kind of allow a similar approach,
  250  like I found a lot of that. Like just
  253  I want to look down and get that
  255  perspective. Done some work
  257  photographing these like lotus flowers
  258  at Echo Park. And that's a lot of uh
  261  shape and detail light and contrast. So,
  263  like when you go out into an
  265  environment, you can incorporate
  267  existing shapes of architecture,
  270  shadow patterns, light. So, it's not
  272  just a singular moment of say if it's a
  274  street photograph, it's not just a
  275  singular moment, but now you're
  276  incorporating this environment into it.
  278  To understand or make photos of
  280  different stuff, you kind of have to
  281  like let go of your process of one thing
  284  and learn a new one. Which to me is fun.
  287  If you keep doing this rinse and repeat,
  289  that just doesn't sound too thrilling,
  291  especially if it's over the span of 5,
  293  10, 20 years.
  294  >> What what are the signals you look for
  295  to to jump genres or pull in another
  298  genre?
  299  >> That is just enthusiasm. I mean, I could
  303  wake up and go, "Oh, I'm so into street
  304  right now. I'm going to run this."
  306  And then
  307  doing that, but then at some point I
  309  might say, "I'm losing that steam, that
  310  excitement." But then you kind of listen
  313  to yourself as hippy dippy that may
  315  sound, but like listening to your
  316  internal self of like what's exciting me
  318  right now and not feeling like confined
  320  to what people see me as this kind of
  322  photographer, I have to do this. I think
  324  to like let that go and just have fun
  327  and make photographs of any subject
  329  matter
  330  that excites you or interests you. You
  332  know, even some of the people that we
  333  might admire, Joel Meyerowitz, right?
  335  Like he went on and did that Cape Cod
  337  work and large format. And if you're
  340  looking for examples throughout
  341  photography people who've done it,
  342  there's definitely plenty of them.
  344  Having that confidence in yourself to
  345  try new things and not be hard on
  348  yourself if they're not transpiring
  350  immediately or as you want them to.
  353  You have to like just give it enough
  354  time to to grow.
  355  >> Speaking of letting things go, you had
  357  an interesting start to your photography
  359  career. Started with skateboarding. That
  360  was kind of like the introduction to
  361  like visual. [laughter]
  363  >> Uh not really. Well, visually, yeah.
  365  Like skateboarding exposed me to what
  368  photography could be through magazines,
  370  Thrasher, Transworld, Big Brother.
  373  But, I mean, my start in photography
  375  came from an unlikely place of the adult
  378  film world. Quick story of that was I
  380  was running a skateboard camp for kids
  382  up in the valley. These three brothers,
  385  Kurt, Joey, and Chandler Mann. They were
  387  8, 11, and 12 at the time. They knew me
  389  from some local skate videos. And then
  391  their father, Christian Mann, would pick
  393  them up. And one day the youngest one
  394  told me what their dad did. He goes,
  395  "Our dad owns an adult film company."
  398  And then one day he's like, "Yeah, do
  399  you want to come work for me?
  401  I want you to produce
  403  a skateboarding adult video." I was
  405  like, "What do I have to do?" And he's
  406  like, "Just make it cool. Like get
  408  skaters involved, make it something that
  410  skateboarders can kind of like
  412  be somewhat proud of and not scoff at."
  415  So, I worked with the director. We did
  417  it. It did good for him. And he said,
  419  "Come work for me. You'll be my
  422  personal assistant half the day, other
  424  half of the day
  426  you're going to scan negatives for our
  427  website." So, this was like 2001. And
  430  then one day he said, "Oh, you used to
  431  make skate videos, like film them,
  432  right?" And I said, "Yeah."
  434  He was like, "Do you want to try
  435  directing?"
  436  So, I'm going down this rabbit hole of
  438  like, "Sure." Like, at the time I didn't
  440  really know what I wanted to do with my
  442  life, but I was like, "Well, there's
  444  He was First of all, he was a great
  446  mentor, great boss, great work
  448  environment. You know, I was like, "I
  449  don't know what I'm doing, but I know if
  450  I do this, there's more money making and
  452  filming these things than being in the
  454  office." That led to hiring, you know,
  456  makeup artists, production assistant,
  459  locations,
