# Photographing L.A. with Adali Schell -- Walkie Talkie around the US  ep 6 / Los Angeles
# https://www.youtube.com/watch?v=lXjlicEMJt0
# length 79 min

## DESCRIPTION
Follow Adali: https://www.instagram.com/advli
Adali's site: adalischell.com

Adali's Gear: 
Leica M4 (https://shrsl.com/4lkka)
Makina 67 (https://shrsl.com/4lkhp)

Like, comment, subscribe? 

Watch 40 more minutes of this video by joining my Patreon community (along with 25+ other extended cuts): https://bit.ly/PaulieBPatreon


--
Have film to process? You should send it to the amazing team at Nice Film Club. I even have a discount code for you. 
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub

Get 10% off your first order (including memberships!) with code 'NFCPAULIE' 

--
Support the channel by buying my latest zine: 
https://bit.ly/NOTASWEKNOWIT_ORDER

--
email me here: contact@paulbaldonado.com

mail me stuff here: 
PO BOX 422 
Jersey City NJ 07303

my IG: https://www.instagram.com/paulie.b/

--


Gear used to create this video: 
DJO Osmo Pocket 3
iPhone 15 Pro Max
Rode Wireless Go II 

--
#photography #streetphotography #filmphotography

## TRANSCRIPT (seconds  text)
    4  [Music]
    6  yo we're back with another episode of
    8  walkie talkie Adel here Adel say what's
   11  up hey guys my name is adeli I'm a
   15  photographer from Los Angeles Paulie has
   18  flown out uh to visit me I made him just
   21  kidding he was here already and uh yeah
   24  we're looking at some work I'm going to
   25  show you around and show you the
   27  pictures I take and that I'm interested
   29  in and then the city that I was born in
   31  and that still continues to inspire me
   33  and we're going to drive around going to
   35  show paully some of my favorite spots
   37  going to bring the cameras out um maybe
   40  potentially I don't know come back herea
   42  do a slideshow maybe I don't know let's
   45  figure it out we we're here with your
   47  books all your photo books you have any
   49  one photo book that's that you want to
   51  call out that has a major impact of you
   54  you got it bro um just gonna it's not
   57  going to be one though I'm gonna give
   59  you a couple probably my favorite book
   62  as of right now that I've ever seen JY
   64  brum's Ariel this is fire and I think
   69  Brum is one of the most
   71  underappreciated goats to ever pick up a
   74  camera this book just blows me away and
   80  I don't again I know a lot of Street
   81  photographers here I don't know if this
   83  is so much going to be up everyone's
   84  alley but he just shot um these
   88  landscapes in this town and looking at
   90  this book it's quite dense and my eyes
   95  kind of just look through the photos
   97  it's not even about correcting to to get
   99  the orientation right there's just this
  101  unbelievable Harmony that he's finding
  103  in these compositions I'm looking at
  105  this book and I'm like oh my God I I
  108  need to I need to I can't even make work
  111  anymore like I this book is totally
  113  retali rating my entire brain this used
  115  to be like my favorite ever um I don't
  119  know how to pronounce his name Doug
  120  Rickard I believe a new American picture
  122  handing also love street photography he
  126  made this like great kind of seminal
  129  American street photography work that
  132  was all Google street view this raises
  136  all these questions about surveillance
  137  and about just Photography in this a
  139  very contemporary sense that is quite
  142  controversial um oh my gosh and the
  145  quality is so crunchy and faces are
  147  blurred just out of Google and the guy I
  149  gu spent like years and years um just
  152  spending time on loal street view and
  154  you know of course in the in the
  157  tradition of the Americans and like all
  158  of these great photographers who have
  160  done these American road trips I think
  162  this is such an interesting turning
  164  point in that lineage I have to shout
  168  out certainly one of the goats Chris
  170  arine this is a huge huge huge influence
  174  um oh come on man SE prints color
  181  square of the family has totally totally
  185  of course inspired my work in Midwest
  188  have to shout out evidence to California
  192  Legends Melle and solent Sultan these
  195  guys went through for those who don't
  196  know they went through like various LA
  199  City and County archives and sourced
  202  these like basically found government
  204  photographs from the past and came up
  205  with this really really beautiful
  207  sequence Billy HS rais a laugh the new
  210  one just came out I'll take it off
  215  show
  220  okay Jus this book also of course shout
  225  out just like family beautiful beautiful
  229  family
  230  work
  233  um this guy is so great and I think he
  236  is also a very successful example of
  238  someone who maybe has the like eye of a
  241  street photographer but who's practicing
  243  this within a more personal and private
  245  domain how great is this photo this is
  248  such a great
  249  picture um and I think that's something
  252  oh my gosh I think this is this is
  255  really something that I've spent so much
  256  time thinking about is uh I did street
  259  photography and I loved it and it was
  261  very gratifying and fulfilling I
  262  actually have have work from that I can
  264  show you because I keep referencing it
  266  but I just realized that and not to not
  269  to dis en chant the practice at all or
  271  anyone who's interested in going out on
  273  the street to make pictures but it just
  274  didn't really feel like it was mine you
  276  know it could be it could belong to
  277  anyone which is perhaps a part of its
  279  beauty but I think this work totally
  282  opened maybe my eyes partially to what
  285  that could do this guy saw his father
  287  and I believe his
  289  mother um for I don't even think it was
  292  really that long of a time this body of
  293  work but it's so great there's so many
  295  new photos in this the new edition that
  297  just came out there one book I have to
  299  show you but I'm keep trying to find oh
  302  oh my gosh okay I'm sorry it's going to
  304  be too
  306  B this is right
  309  now next to Jim baram in a very
  312  different way I'm going to to pronounce
  314  your last name L saati I think is oh my
  318  gosh such a goat um and by the way
  323  there's work that she published um
  325  called OCTA ESP which actually has a
  327  book but it left out so many brilliant
  329  photographs that can only be found
  331  online I would really advise the viewer
  333  to go look at this it's like some of the
  334  finest color street photography I've
  337  ever seen made in Russia in the 9s um
  340  there's like ma like two or three
  342  magazines online that shared that work
  343  but she went from taking this really
  345  brilliant Leica low like and then came
  348  to Los Angeles and started working um
  351  initially with a Leica and then went to
  353  a larger camera these are these like
  355  posed portraits but they and they're so
  357  solemn and they're so still uh but
  360  they're so I don't know they feel so
  362  full of life to me and they're so subtle
  364  in a way that I just really respond to
  367  um like golden kind of but like alifi in
  371  a way that I oh like this photo is so
  374  awesome so brilliant this stuff and the
  377  tones the indoor tones I don't know how
  379  she's making pictures with these indoor
  382  tones that are like so
  385  gorgeous this is so good to me it's like
  387  girl pictures by Justin kland but
  390  like less overt maybe I don't
  393  know oh my
  396  goodness this is if I had to like
  398  pulling off the shelf this is like one
  400  of the two or three I would say and then
  402  finally let's close it off with like the
